name,writer,original_language,genre,binding,publication,price,transaction_method,year,read_unread,rating,writer_gender
The cycle of Time,Simone Boger,English,Non Fiction,Paperback,,20,Cash,2022,Partially read,Moderate,Female
The Danish Girl,David Ebershoff,English,Fiction,Paperback,W&N,288,Online,2020,Yes,Moderate,Male
A Room of One's Own,Virginia Woolf,English,Non Fiction,Paperback,Maple Classics,50,Cash,2023,Yes,Moderate,Female
Odyssey,Homer,Greek,Poetry,Paperback,Airmont Publishing Company Ltd,50,Cash,2023,No,None,Male
Light of the Bhagavata,A. C. B. Swami Prabhupada,English,Non Fiction,Paperback,The Bhakti Vedanta Book Trust,55,Online,2022,No,None,Male
Cradle Tales of Hinduism,Sister Nivedita,English,Fiction,Paperback,Advaita Ashrama,70,Online,2016,Yes,Moderate,Female
A Christmas Carol,Charles Dickens,English,Fiction,Paperback,Maple Classics,75,Online,2020,Yes,Moderate,Male
Pskov,,English,Non Fiction,Hardcover,Raduga Publishers,80,Cash,2023,No,None,
Vladimir,,English,Non Fiction,Hardcover,Raduga Publishers,80,Cash,2023,No,None,
Outstanding World's Wonder,Anita Gupta,English,Non Fiction,Paperback,M G Books,95,Cash,2016,Yes,Moderate,Female
Outstanding World's Wonder,Gagan Gupta,English,Non Fiction,Paperback,M G Books,95,Cash,2016,Yes,Moderate,Male
Treasure Island,R. L. Stevenson,English,Fiction,Hardcover,Papillo Classics,95,Cash,2014,Yes,Excellent,Male
The Wind in the willows,Kenneth Grahame,English,Fiction,Paperback,Fingerprint Classics,99,Online,2021,Yes,Moderate,Male
Fairy Tales,The Brothers Grimm,English,Fiction,Hardcover,Children's Classics,100,Online,2022,No,Moderate,Male
Four Plays Of Euripides,Euripides,Greek,Drama,Paperback,Penguin,100,Cash,2023,Yes,Moderate,Male
The Adventures of Tom Sawyer and Huckleberry Finn,Mark Twain,English,Fiction,Hardcover,"Chuckervertty, Chatterjee & Coltd",100,Cash,2016,Yes,Excellent,Male
The Iliad,Homer,Greek,Poetry,Paperback,Wordsworth Classics,100,Cash,2023,Partially read,Moderate,Male
Meditations,Marcus Aurelius,Greek,Non Fiction,Paperback,Maple Classics,113,Online,2021,Yes,Excellent,Male
Walden,Henry David Thoreau,English,Non Fiction,Paperback,Maple Classics,116,Online,2020,Yes,Excellent,Male
Oliver Twist,Charles Dickens,English,Non Fiction,Paperback,Papillo Classics,120,Cash,2014,Yes,Moderate,Male
The little Fellow,Peter Cotes,English,Non Fiction,Paperback,The Bodly Head London,120,Cash,2016,Yes,Excellent,Male
The little Fellow,Thelma Niklaus,English,Non Fiction,Paperback,The Bodly Head London,120,Cash,2016,Yes,Excellent,Female
Stories by O. Henry,O. Henry,English,Fiction,Paperback,Mansi Publishing House,125,Cash,2016,Yes,Excellent,Male
The Picture of Dorian Gray,Oscar Wilde,English,Fiction,Paperback,Maple Classics,125,Online,2020,Yes,Moderate,Male
50 selected works of O. Henry,O. Henry,English,Fiction,Paperback,Projapoti,130,Online,2022,Yes,Moderate,Male
Malgudi Days,R. K. Narayan,English,Fiction,Paperback,Indian Thought Publication,140,Cash,2014,Yes,Moderate,Male
Kidnapped,R. L. Stevenson,English,Fiction,Hardcover,Jaico,145,Cash,2016,Yes,Moderate,Male
Browning,Robert Browning,English,Poetry,Paperback,Penguin,150,Cash,2023,No,None,Male
Poems of Robert Frost,Robert Frost,English,Poetry,Paperback,Washington Square Press Ltd,150,Cash,2023,No,None,Male
Shelley,Percy Bysshe Shelley,English,Poetry,Paperback,Penguin,150,Cash,2023,No,None,Male
Tales of Ancient Egypt,Roger Lancelyn Green,English,Fiction,Paperback,Puffin Classics,150,Online,2019,Yes,Moderate,Male
The Monk who sold his Ferrari,Robin Sharma,English,Fiction,Paperback,Jaico Publishing Company,156,Online,2020,Yes,Bad,Male
Little Women,Louisa May Alcott,English,Fiction,Paperback,Vintage classics,162,Online,2021,Yes,Excellent,Female
Leo Tolstoy Selected works,Leo Tolstoy,Russian,Fiction,Paperback,Maple Classics,166,Online,2021,Yes,Moderate,Male
Uncle Vanya,Anton Chekhov,Russian,Drama,Paperback,Dover Publication,167,Online,2023,Yes,Excellent,Male
