stars_id ,StarName
stars_id ,Tim Robbins
stars_id ,Marlon Brando
stars_id ,Christian Bale
stars_id ,Al Pacino
stars_id ,Henry Fonda
stars_id ,Elijah Wood
stars_id ,John Travolta
stars_id ,Liam Neeson
stars_id ,Leonardo DiCaprio
stars_id ,Brad Pitt
stars_id ,Elijah Wood
stars_id ,Tom Hanks
stars_id ,Clint Eastwood
stars_id ,Elijah Wood
stars_id ,Lilly Wachowski
stars_id ,Robert De Niro
stars_id ,Mark Hamill
18,Jack Nicholson
19,Lin-Manuel Miranda
20,Kang-ho Song
21,Suriya
22,Matthew McConaughey
23,KÃ¡tia Lund
24,Daveigh Chase
25,Tom Hanks
26,Tom Hanks
27,Roberto Benigni
28,Morgan Freeman
29,Jodie Foster
30,Mark Hamill
31,Tatsuya Nakadai
32,ToshirÃ´ Mifune
33,James Stewart
34,Joaquin Phoenix
35,Miles Teller
36,Ã‰ric Toledano
37,Christian Bale
38,Leonardo DiCaprio
39,Adrien Brody
40,Russell Crowe
41,Edward Norton
42,Kevin Spacey
43,Jean Reno
44,Rob Minkoff
45,Arnold Schwarzenegger
46,Philippe Noiret
47,Tsutomu Tatsumi
48,Michael J. Fox
49,Henry Fonda
50,Anthony Perkins
51,Humphrey Bogart
52,Charles Chaplin
53,Charles Chaplin
54,Zain Al Rafeea
55,Erdem Can
56,Pushkar
57,RyÃ»nosuke Kamiki
58,Aamir Khan
59,Peter Ramsey
60,Joe Russo
61,Joe Russo
62,Adrian Molina
63,Jamie Foxx
64,Christian Bale
65,Aamir Khan
66,Amole Gupte
67,Ben Burtt
68,Ulrich MÃ¼he
69,Choi Min-sik
70,Guy Pearce
71,YÃ´ji Matsuda
72,Robert De Niro
73,Harrison Ford
74,Jack Nicholson
75,Martin Sheen
76,Sigourney Weaver
77,Rajesh Khanna
78,ToshirÃ´ Mifune
79,Peter Sellers
80,Tyrone Power
